"Time","Piston.frame_a.r_0[1]","Piston.frame_a.r_0[2]","Piston.frame_a.r_0[3]"
0.000000000000000E+00,1.500000000000000E-01,3.999999249999500E-01,0.000000000000000E+00
1.000000000000000E-03,1.500000000000000E-01,3.999999242156400E-01,0.000000000000000E+00
2.000000000000000E-03,1.500000000000000E-01,3.999999220566900E-01,0.000000000000000E+00
3.000000000000000E-03,1.500000000000000E-01,3.999999183797300E-01,0.000000000000000E+00
4.000000000000000E-03,1.500000000000000E-01,3.999999130387800E-01,0.000000000000000E+00
5.000000000000000E-03,1.500000000000000E-01,3.999999058315400E-01,0.000000000000000E+00
6.000000000000000E-03,1.500000000000000E-01,3.999998964852900E-01,0.000000000000000E+00
7.000000000000000E-03,1.500000000000000E-01,3.999998846483800E-01,0.000000000000000E+00
8.000000000000000E-03,1.500000000000000E-01,3.999998698745000E-01,0.000000000000000E+00
8.999999999999999E-03,1.500000000000000E-01,3.999998516060800E-01,0.000000000000000E+00
1.000000000000000E-02,1.500000000000000E-01,3.999998291535200E-01,0.000000000000000E+00
1.100000000000000E-02,1.500000000000000E-01,3.999998016692700E-01,0.000000000000000E+00
1.200000000000000E-02,1.500000000000000E-01,3.999997681158700E-01,0.000000000000000E+00
1.300000000000000E-02,1.500000000000000E-01,3.999997272267500E-01,0.000000000000000E+00
1.400000000000000E-02,1.500000000000000E-01,3.999996774584500E-01,0.000000000000000E+00
1.500000000000000E-02,1.500000000000000E-01,3.999996169323300E-01,0.000000000000000E+00
1.600000000000000E-02,1.500000000000000E-01,3.999995433636700E-01,0.000000000000000E+00
1.700000000000000E-02,1.500000000000000E-01,3.999994539754500E-01,0.000000000000000E+00
1.800000000000000E-02,1.500000000000000E-01,3.999993453934800E-01,0.000000000000000E+00
1.900000000000000E-02,1.500000000000000E-01,3.999992135191200E-01,0.000000000000000E+00
2.000000000000000E-02,1.500000000000000E-01,3.999990533745000E-01,0.000000000000000E+00
2.100000000000000E-02,1.500000000000000E-01,3.999988589147200E-01,0.000000000000000E+00
2.200000000000000E-02,1.500000000000000E-01,3.999986227996800E-01,0.000000000000000E+00
2.300000000000000E-02,1.500000000000000E-01,3.999983361171200E-01,0.000000000000000E+00
2.400000000000000E-02,1.500000000000000E-01,3.999979880462700E-01,0.000000000000000E+00
2.500000000000000E-02,1.500000000000000E-01,3.999975654498800E-01,0.000000000000000E+00
2.600000000000000E-02,1.500000000000000E-01,3.999970523784800E-01,0.000000000000000E+00
2.700000000000000E-02,1.500000000000000E-01,3.999964294682700E-01,0.000000000000000E+00
2.800000000000000E-02,1.500000000000000E-01,3.999956732108000E-01,0.000000000000000E+00
2.900000000000000E-02,1.500000000000000E-01,3.999947550666800E-01,0.000000000000000E+00
3.000000000000000E-02,1.500000000000000E-01,3.999936403897500E-01,0.000000000000000E+00
3.100000000000000E-02,1.500000000000000E-01,3.999922871212600E-01,0.000000000000000E+00
3.200000000000000E-02,1.500000000000000E-01,3.999906442051500E-01,0.000000000000000E+00
3.300000000000000E-02,1.500000000000000E-01,3.999886496650700E-01,0.000000000000000E+00
3.400000000000000E-02,1.500000000000000E-01,3.999862282713600E-01,0.000000000000000E+00
3.500000000000000E-02,1.500000000000000E-01,3.999832887107200E-01,0.000000000000000E+00
3.600000000000000E-02,1.500000000000000E-01,3.999797201533900E-01,0.000000000000000E+00
3.700000000000000E-02,1.500000000000000E-01,3.999753880902100E-01,0.000000000000000E+00
3.800000000000000E-02,1.500000000000000E-01,3.999701292857100E-01,0.000000000000000E+00
3.900000000000000E-02,1.500000000000000E-01,3.999637456613000E-01,0.000000000000000E+00
4.000000000000000E-02,1.500000000000000E-01,3.999559968845400E-01,0.000000000000000E+00
4.100000000000000E-02,1.500000000000000E-01,3.999465913948100E-01,0.000000000000000E+00
4.200000000000000E-02,1.500000000000000E-01,3.999351755414400E-01,0.000000000000000E+00
4.300000000000000E-02,1.500000000000000E-01,3.999213204460200E-01,0.000000000000000E+00
4.400000000000000E-02,1.500000000000000E-01,3.999045061249700E-01,0.000000000000000E+00
4.500000000000000E-02,1.500000000000000E-01,3.998841023309500E-01,0.000000000000000E+00
4.600000000000000E-02,1.500000000000000E-01,3.998593454338900E-01,0.000000000000000E+00
4.700000000000000E-02,1.500000000000000E-01,3.998293105788800E-01,0.000000000000000E+00
4.800000000000000E-02,1.500000000000000E-01,3.997928782246600E-01,0.000000000000000E+00
4.900000000000000E-02,1.500000000000000E-01,3.997486940135500E-01,0.000000000000000E+00
5.000000000000000E-02,1.500000000000000E-01,3.996951207673000E-01,0.000000000000000E+00
5.100000000000000E-02,1.500000000000000E-01,3.996301812472600E-01,0.000000000000000E+00
5.200000000000000E-02,1.500000000000000E-01,3.995514901718600E-01,0.000000000000000E+00
5.300000000000000E-02,1.500000000000000E-01,3.994561738673000E-01,0.000000000000000E+00
5.400000000000000E-02,1.500000000000000E-01,3.993407758684700E-01,0.000000000000000E+00
5.500000000000000E-02,1.500000000000000E-01,3.992011468296800E-01,0.000000000000000E+00
5.600000000000000E-02,1.500000000000000E-01,3.990323173087800E-01,0.000000000000000E+00
5.700000000000000E-02,1.500000000000000E-01,3.988283524331500E-01,0.000000000000000E+00
5.800000000000000E-02,1.500000000000000E-01,3.985821882450300E-01,0.000000000000000E+00
5.900000000000000E-02,1.500000000000000E-01,3.982854507761900E-01,0.000000000000000E+00
6.000000000000000E-02,1.500000000000000E-01,3.979282607507800E-01,0.000000000000000E+00
6.100000000000000E-02,1.500000000000000E-01,3.974990293790500E-01,0.000000000000000E+00
6.200000000000000E-02,1.500000000000000E-01,3.969842540523700E-01,0.000000000000000E+00
6.300000000000000E-02,1.500000000000000E-01,3.963683268404600E-01,0.000000000000000E+00
6.400000000000000E-02,1.500000000000000E-01,3.956333685802000E-01,0.000000000000000E+00
6.500000000000000E-02,1.500000000000000E-01,3.947590809208000E-01,0.000000000000000E+00
6.600000000000000E-02,1.500000000000000E-01,3.937227860100600E-01,0.000000000000000E+00
6.700000000000000E-02,1.500000000000000E-01,3.924994633141600E-01,0.000000000000000E+00
6.800000000000000E-02,1.500000000000000E-01,3.910619538249900E-01,0.000000000000000E+00
6.900000000000001E-02,1.500000000000000E-01,3.893814125240400E-01,0.000000000000000E+00
7.000000000000001E-02,1.500000000000000E-01,3.874276909438500E-01,0.000000000000000E+00
7.099999999999999E-02,1.500000000000000E-01,3.851700585407500E-01,0.000000000000000E+00
7.199999999999999E-02,1.500000000000000E-01,3.825780233859900E-01,0.000000000000000E+00
7.300000000000000E-02,1.500000000000000E-01,3.796223236049500E-01,0.000000000000000E+00
7.400000000000000E-02,1.500000000000000E-01,3.762755786853100E-01,0.000000000000000E+00
7.500000000000000E-02,1.500000000000000E-01,3.725134287869700E-01,0.000000000000000E+00
7.600000000000000E-02,1.500000000000000E-01,3.683151516277700E-01,0.000000000000000E+00
7.700000000000000E-02,1.500000000000000E-01,3.636643745932000E-01,0.000000000000000E+00
7.800000000000000E-02,1.500000000000000E-01,3.585496823237200E-01,0.000000000000000E+00
7.900000000000000E-02,1.500000000000000E-01,3.529651153391100E-01,0.000000000000000E+00
8.000000000000000E-02,1.500000000000000E-01,3.469106389330900E-01,0.000000000000000E+00
8.100000000000000E-02,1.500000000000000E-01,3.403926058437000E-01,0.000000000000000E+00
8.200000000000000E-02,1.500000000000000E-01,3.334242732858000E-01,0.000000000000000E+00
8.300000000000000E-02,1.500000000000000E-01,3.260267184014300E-01,0.000000000000000E+00
8.400000000000001E-02,1.500000000000000E-01,3.182292498844100E-01,0.000000000000000E+00
8.500000000000001E-02,1.500000000000000E-01,3.100711409858400E-01,0.000000000000000E+00
8.599999999999999E-02,1.500000000000000E-01,3.016026538584200E-01,0.000000000000000E+00
8.699999999999999E-02,1.500000000000000E-01,2.928859350055700E-01,0.000000000000000E+00
8.799999999999999E-02,1.500000000000000E-01,2.839967002246700E-01,0.000000000000000E+00
8.900000000000000E-02,1.500000000000000E-01,2.750247659755600E-01,0.000000000000000E+00
9.000000000000000E-02,1.500000000000000E-01,2.660741026242400E-01,0.000000000000000E+00
9.100000000000000E-02,1.500000000000000E-01,2.572616720620900E-01,0.000000000000000E+00
9.200000000000000E-02,1.500000000000000E-01,2.487149114606200E-01,0.000000000000000E+00
9.300000000000000E-02,1.500000000000000E-01,2.405645197424700E-01,0.000000000000000E+00
9.400000000000000E-02,1.500000000000000E-01,2.329385787023500E-01,0.000000000000000E+00
9.500000000000000E-02,1.500000000000000E-01,2.259544749750500E-01,0.000000000000000E+00
9.600000000000000E-02,1.500000000000000E-01,2.197095141016400E-01,0.000000000000000E+00
9.700000000000000E-02,1.500000000000000E-01,2.142761829898300E-01,0.000000000000000E+00
9.800000000000000E-02,1.500000000000000E-01,2.097006967232000E-01,0.000000000000000E+00
9.900000000000000E-02,1.500000000000000E-01,2.060060972737400E-01,0.000000000000000E+00
1.000000000000000E-01,1.500000000000000E-01,2.031979697860900E-01,0.000000000000000E+00
1.010000000000000E-01,1.500000000000000E-01,2.012717697851400E-01,0.000000000000000E+00
1.020000000000000E-01,1.500000000000000E-01,2.002197285117800E-01,0.000000000000000E+00
1.030000000000000E-01,1.500000000000000E-01,2.000358974385500E-01,0.000000000000000E+00
1.040000000000000E-01,1.500000000000000E-01,2.007189043488600E-01,0.000000000000000E+00
1.050000000000000E-01,1.500000000000000E-01,2.022728213320000E-01,0.000000000000000E+00
1.060000000000000E-01,1.500000000000000E-01,2.047065441393100E-01,0.000000000000000E+00
1.070000000000000E-01,1.500000000000000E-01,2.080286446454600E-01,0.000000000000000E+00
1.080000000000000E-01,1.500000000000000E-01,2.122437270362300E-01,0.000000000000000E+00
1.090000000000000E-01,1.500000000000000E-01,2.173471034604900E-01,0.000000000000000E+00
1.100000000000000E-01,1.500000000000000E-01,2.233190203015200E-01,0.000000000000000E+00
1.110000000000000E-01,1.500000000000000E-01,2.301210554500700E-01,0.000000000000000E+00
1.120000000000000E-01,1.500000000000000E-01,2.376939117311200E-01,0.000000000000000E+00
1.130000000000000E-01,1.500000000000000E-01,2.459599400933700E-01,0.000000000000000E+00
1.140000000000000E-01,1.500000000000000E-01,2.548266454670300E-01,0.000000000000000E+00
1.150000000000000E-01,1.500000000000000E-01,2.641913042113100E-01,0.000000000000000E+00
1.160000000000000E-01,1.500000000000000E-01,2.739459885953700E-01,0.000000000000000E+00
1.170000000000000E-01,1.500000000000000E-01,2.839839059215800E-01,0.000000000000000E+00
1.180000000000000E-01,1.500000000000000E-01,2.941986747576900E-01,0.000000000000000E+00
1.190000000000000E-01,1.500000000000000E-01,3.044896030341600E-01,0.000000000000000E+00
1.200000000000000E-01,1.500000000000000E-01,3.147601785865500E-01,0.000000000000000E+00
1.210000000000000E-01,1.500000000000000E-01,3.249185241078000E-01,0.000000000000000E+00
1.220000000000000E-01,1.500000000000000E-01,3.348766457221100E-01,0.000000000000000E+00
1.230000000000000E-01,1.500000000000000E-01,3.445470611571400E-01,0.000000000000000E+00
1.240000000000000E-01,1.500000000000000E-01,3.538415874642900E-01,0.000000000000000E+00
1.250000000000000E-01,1.500000000000000E-01,3.626652555445600E-01,0.000000000000000E+00
1.260000000000000E-01,1.500000000000000E-01,3.709119518586100E-01,0.000000000000000E+00
1.270000000000000E-01,1.500000000000000E-01,3.784584340737600E-01,0.000000000000000E+00
1.280000000000000E-01,1.500000000000000E-01,3.851588497712400E-01,0.000000000000000E+00
1.290000000000000E-01,1.500000000000000E-01,3.908416004015500E-01,0.000000000000000E+00
1.300000000000000E-01,1.500000000000000E-01,3.953138509181800E-01,0.000000000000000E+00
1.310000000000000E-01,1.500000000000000E-01,3.983785077906600E-01,0.000000000000000E+00
1.320000000000000E-01,1.500000000000000E-01,3.998688309200500E-01,0.000000000000000E+00
1.330000000000000E-01,1.500000000000000E-01,3.996917701668200E-01,0.000000000000000E+00
1.340000000000000E-01,1.500000000000000E-01,3.978486941297900E-01,0.000000000000000E+00
1.350000000000000E-01,1.500000000000000E-01,3.944112358099700E-01,0.000000000000000E+00
1.360000000000000E-01,1.500000000000000E-01,3.894968617570900E-01,0.000000000000000E+00
1.370000000000000E-01,1.500000000000000E-01,3.832464882279000E-01,0.000000000000000E+00
1.380000000000000E-01,1.500000000000000E-01,3.758041366497700E-01,0.000000000000000E+00
1.390000000000000E-01,1.500000000000000E-01,3.673066109719100E-01,0.000000000000000E+00
1.400000000000000E-01,1.500000000000000E-01,3.578812063604300E-01,0.000000000000000E+00
1.410000000000000E-01,1.500000000000000E-01,3.476469198268600E-01,0.000000000000000E+00
1.420000000000000E-01,1.500000000000000E-01,3.367188151909700E-01,0.000000000000000E+00
1.430000000000000E-01,1.500000000000000E-01,3.252135896160500E-01,0.000000000000000E+00
1.440000000000000E-01,1.500000000000000E-01,3.132550750709100E-01,0.000000000000000E+00
1.450000000000000E-01,1.500000000000000E-01,3.009827081300700E-01,0.000000000000000E+00
1.460000000000000E-01,1.500000000000000E-01,2.885551177705700E-01,0.000000000000000E+00
1.470000000000000E-01,1.500000000000000E-01,2.761587086245400E-01,0.000000000000000E+00
1.480000000000000E-01,1.500000000000000E-01,2.640061321462900E-01,0.000000000000000E+00
1.490000000000000E-01,1.500000000000000E-01,2.523357856967900E-01,0.000000000000000E+00
1.500000000000000E-01,1.500000000000000E-01,2.414012285147600E-01,0.000000000000000E+00
1.510000000000000E-01,1.500000000000000E-01,2.314466382780700E-01,0.000000000000000E+00
1.520000000000000E-01,1.500000000000000E-01,2.226863903581800E-01,0.000000000000000E+00
1.530000000000000E-01,1.500000000000000E-01,2.152782565535700E-01,0.000000000000000E+00
1.540000000000000E-01,1.500000000000000E-01,2.093148650483100E-01,0.000000000000000E+00
1.550000000000000E-01,1.500000000000000E-01,2.048291594998800E-01,0.000000000000000E+00
1.560000000000000E-01,1.500000000000000E-01,2.018148697836600E-01,0.000000000000000E+00
1.570000000000000E-01,1.500000000000000E-01,2.002504538602300E-01,0.000000000000000E+00
1.580000000000000E-01,1.500000000000000E-01,2.001188055504400E-01,0.000000000000000E+00
1.590000000000000E-01,1.500000000000000E-01,2.014179771150200E-01,0.000000000000000E+00
1.600000000000000E-01,1.500000000000000E-01,2.041633489387700E-01,0.000000000000000E+00
1.610000000000000E-01,1.500000000000000E-01,2.083790712279400E-01,0.000000000000000E+00
1.620000000000000E-01,1.500000000000000E-01,2.140827166691300E-01,0.000000000000000E+00
1.630000000000000E-01,1.500000000000000E-01,2.212649187373600E-01,0.000000000000000E+00
1.640000000000000E-01,1.500000000000000E-01,2.298709323432700E-01,0.000000000000000E+00
1.650000000000000E-01,1.500000000000000E-01,2.397903070047100E-01,0.000000000000000E+00
1.660000000000000E-01,1.500000000000000E-01,2.508588511721500E-01,0.000000000000000E+00
1.670000000000000E-01,1.500000000000000E-01,2.628759704481900E-01,0.000000000000000E+00
1.680000000000000E-01,1.500000000000000E-01,2.756208297083500E-01,0.000000000000000E+00
1.690000000000000E-01,1.500000000000000E-01,2.888704384051400E-01,0.000000000000000E+00
1.700000000000000E-01,1.500000000000000E-01,3.024063646445900E-01,0.000000000000000E+00
1.710000000000000E-01,1.500000000000000E-01,3.160204064473500E-01,0.000000000000000E+00
1.720000000000000E-01,1.500000000000000E-01,3.295108022865200E-01,0.000000000000000E+00
1.730000000000000E-01,1.500000000000000E-01,3.426748365762200E-01,0.000000000000000E+00
1.740000000000000E-01,1.500000000000000E-01,3.552920951563100E-01,0.000000000000000E+00
1.750000000000000E-01,1.500000000000000E-01,3.671114707228800E-01,0.000000000000000E+00
1.760000000000000E-01,1.500000000000000E-01,3.778163468900300E-01,0.000000000000000E+00
1.770000000000000E-01,1.500000000000000E-01,3.869986966109200E-01,0.000000000000000E+00
1.780000000000000E-01,1.500000000000000E-01,3.941365870650600E-01,0.000000000000000E+00
1.790000000000000E-01,1.500000000000000E-01,3.986349628702200E-01,0.000000000000000E+00
1.800000000000000E-01,1.500000000000000E-01,3.999845872857200E-01,0.000000000000000E+00
1.810000000000000E-01,1.500000000000000E-01,3.980011922359200E-01,0.000000000000000E+00
1.820000000000000E-01,1.500000000000000E-01,3.928992331150600E-01,0.000000000000000E+00
1.830000000000000E-01,1.500000000000000E-01,3.851420165895200E-01,0.000000000000000E+00
1.840000000000000E-01,1.500000000000000E-01,3.752494260878300E-01,0.000000000000000E+00
1.850000000000000E-01,1.500000000000000E-01,3.636805684855200E-01,0.000000000000000E+00
1.860000000000000E-01,1.500000000000000E-01,3.508119304550600E-01,0.000000000000000E+00
1.870000000000000E-01,1.500000000000000E-01,3.369513236598900E-01,0.000000000000000E+00
1.880000000000000E-01,1.500000000000000E-01,3.223705908681500E-01,0.000000000000000E+00
1.890000000000000E-01,1.500000000000000E-01,3.073296855080300E-01,0.000000000000000E+00
1.900000000000000E-01,1.500000000000000E-01,2.921009571953100E-01,0.000000000000000E+00
1.910000000000000E-01,1.500000000000000E-01,2.769873884077500E-01,0.000000000000000E+00
1.920000000000000E-01,1.500000000000000E-01,2.623336857207900E-01,0.000000000000000E+00
1.930000000000000E-01,1.500000000000000E-01,2.485237351091300E-01,0.000000000000000E+00
1.940000000000000E-01,1.500000000000000E-01,2.359561650596900E-01,0.000000000000000E+00
1.950000000000000E-01,1.500000000000000E-01,2.249927881027000E-01,0.000000000000000E+00
1.960000000000000E-01,1.500000000000000E-01,2.159054177200000E-01,0.000000000000000E+00
1.970000000000000E-01,1.500000000000000E-01,2.088479911613800E-01,0.000000000000000E+00
1.980000000000000E-01,1.500000000000000E-01,2.038634432649000E-01,0.000000000000000E+00
1.990000000000000E-01,1.500000000000000E-01,2.009275031465800E-01,0.000000000000000E+00
2.000000000000000E-01,1.500000000000000E-01,2.000012386010100E-01,0.000000000000000E+00
2.010000000000000E-01,1.500000000000000E-01,2.010676787726000E-01,0.000000000000000E+00
2.020000000000000E-01,1.500000000000000E-01,2.041455787719200E-01,0.000000000000000E+00
2.030000000000000E-01,1.500000000000000E-01,2.092770887592600E-01,0.000000000000000E+00
2.040000000000000E-01,1.500000000000000E-01,2.164931155376000E-01,0.000000000000000E+00
2.050000000000000E-01,1.500000000000000E-01,2.257648362781900E-01,0.000000000000000E+00
2.060000000000000E-01,1.500000000000000E-01,2.369662443240300E-01,0.000000000000000E+00
2.070000000000000E-01,1.500000000000000E-01,2.498629907348400E-01,0.000000000000000E+00
2.080000000000000E-01,1.500000000000000E-01,2.641372963185400E-01,0.000000000000000E+00
2.090000000000000E-01,1.500000000000000E-01,2.794304299742200E-01,0.000000000000000E+00
2.100000000000000E-01,1.500000000000000E-01,2.953790589874800E-01,0.000000000000000E+00
2.110000000000000E-01,1.500000000000000E-01,3.116330859282100E-01,0.000000000000000E+00
2.120000000000000E-01,1.500000000000000E-01,3.278542819082700E-01,0.000000000000000E+00
2.130000000000000E-01,1.500000000000000E-01,3.436963642312200E-01,0.000000000000000E+00
